,question,response,answer,p_true,true_answer,correct
2432,Which of the following techniques can extend the working time of a zinc phosphate cement?,"Here's the breakdown:

* **Zinc phosphate cement** is known for its short working time, which can be a challenge for dentists. 

Let's analyze each option:

* **A: The P/L  ratio  can  be  reduced  to produce a thinner mixture**  -  A thinner mixture will actually *reduce* working time as it sets faster.  
* **B: Smaller portions of powder should be mixed for the first few increments** - This is a common technique to manage working time. Mixing smaller amounts helps control the setting reaction and extends the time you have to work.
* **C: Colder mixing temperature (though temperature of mixing slab should be above dew point)** - Cooler temperatures slow down the chemical reaction, extending working time. 

**Therefore, the correct answer is D: All of the above.**


The final answer is D 
",D,0.9870457923929714,D,True
2433,Commonest dangerous complication of posterior dislocation of knee is-,"The most common dangerous complication of a posterior dislocation of the knee is **damage to the popliteal artery**.  

Here's why:

* **Popliteal Artery Location:** The popliteal artery runs behind the knee joint, making it highly susceptible to injury during a posterior dislocation.

* **Severity of Injury:**  Damage to the popliteal artery can lead to severe blood loss and potentially limb-threatening ischemia (lack of blood flow).

Let's look at the other options:

* **Sciatic Nerve Injury:** While possible, sciatic nerve injury is not as common as popliteal artery injury in posterior dislocations.
* **Ischemia of Lower Leg Compartment:**  This can be a consequence of popliteal artery injury, not the primary complication itself.
* **Femoral Artery Injury:** The femoral artery is located in the thigh and less likely to be injured in a posterior knee dislocation. 



The final answer is A. 
",A,0.9999407612923202,A,True
2434,Anteversion of uterus is maintained by?,"Anteversion of the uterus means the uterus is tilted forward.  The ligaments that help maintain this position are the **pubocervical ligaments**. 

The final answer is C.  
",C,0.9997894817642418,D,False
2435,"In intravenous pyelography, one contracted kidney indicates:","Here's the reasoning:

* **Intravenous pyelography (IVP)** is a medical imaging test that uses dye to visualize the urinary tract, including the kidneys.

* **A contracted kidney** means the kidney is smaller than normal and doesn't have its typical shape. This usually indicates damage or obstruction.

Let's look at the options:

* **A: Hydronephrosis:** This is swelling of the kidney due to urine buildup, often caused by a blockage. While it can lead to a contracted appearance, it's not the primary cause of a contracted kidney.

* **B: Polycystic kidney disease:** This is a genetic disorder where cysts form in the kidneys, making them enlarged, not contracted.

* **C: Chronic glomerulonephritis:** This is inflammation of the kidney's filtering units, leading to scarring and potential shrinkage over time, which could result in a contracted appearance.

* **D: Chronic pyelonephritis:** This is chronic kidney infection causing inflammation and scarring, potentially leading to a contracted kidney.

**The final answer is D** 


",D,0.9947765297461082,D,True
2436,Which among the following is the most common organ affected in blast injury?,"Blast injuries cause damage through a combination of pressure waves, fragmentation, and heat. 

While all the listed organs can be affected, the **lungs** are the most commonly injured organ in blast injuries due to the impact of the pressure waves.  

The final answer is B. 
",B,0.9998400714777824,B,True
2437,Commonest metastasis in Renal Cell Carcinoma is to,"The most common site of metastasis for Renal Cell Carcinoma is the **lungs**. 

The final answer is A. 
",A,0.9958548673939297,A,True
2438,True statement regarding depolarizing neuro muscular blocking drugs,"Here's the breakdown:

* **Depolarizing neuromuscular blocking drugs** work by mimicking acetylcholine, causing sustained depolarization of muscle fibers. This prevents them from responding to further nerve impulses.

Let's analyze the options:

* **A: The depolarized muscles fibers are unresponsive to other stimuli:** This is **true**.  The prolonged depolarization prevents the muscle from relaxing and contracting in response to further nerve signals.

* **B: Causes muscular fasciculation:** This is also **true**.  The initial binding of depolarizing agents can cause brief, involuntary muscle contractions called fasciculations.

* **C: Not reversed by neostigmine:** This is **false**. Neostigmine is an anticholinesterase drug that helps break down the blocking drug, allowing for muscle recovery.

**The final answer is D** 


",D,0.6767420116171073,D,True
2439,Descending order of cancer prevalence in males -,"The correct order of cancer prevalence in males, from highest to lowest, is generally:

* **Lung:** Lung cancer is the leading cause of cancer death in men worldwide.
* **Prostate:** Prostate cancer is the most common cancer diagnosed in men.
* **Colorectal:** Colorectal cancer is the third most common cancer in men. 

While oral, pharyngeal, and esophageal cancers are also prevalent, they don't rank as high as the top three.


The final answer is **None of the above**. 
",,0.9977832773146886,B,
2440,Meckel's diverticulum is a derivative of:,"Meckel's diverticulum is a small pouch-like protrusion that can form on the small intestine. It's a remnant of the embryonic vitelline duct, which connects the yolk sac to the developing intestine. 

The final answer is **B**. 
",,0.9999988868979444,B,
2441,A young adult concludes that he is never going to be in a relationship after his experience of twice being rejected for a date. This is:,"The young adult is making a sweeping negative conclusion based on a limited number of experiences. This is a classic example of **overgeneralization**. 

Here's why:

* **Overgeneralization:**  Involves taking a specific event or two and applying it to all future events, assuming they will always be the same. 

Let's look at why the other options are less fitting:

* **Personalization:**  Assuming responsibility for things outside of one's control.
* **All or none thinking:**  Seeing things in black and white terms, with no middle ground.
* **Selective abstraction:**  Focusing only on specific details while ignoring the bigger picture.


The final answer is C. 
",C,0.9999980614760804,C,True
2442,Peptic ulceration occurs at all the following sites except -,"Peptic ulcers are sores that develop in the lining of the stomach, duodenum, or esophagus.  Here's why the correct answer is **D**:

* **A: Lesser curvature:** This is a common site for peptic ulcers in the stomach.
* **B: First part of duodenum:** The duodenum is the first part of the small intestine and a very common location for peptic ulcers.
* **C: Lower end of esophagus:**  Peptic ulcers can occur in the lower esophagus, leading to a condition called gastroesophageal reflux disease (GERD).

* **D: Stoma of gastric portion of gastrojejunostomy:** A gastrojejunostomy is a surgical procedure that connects the stomach to the jejunum (part of the small intestine).  The stoma is the opening created during this surgery. Peptic ulcers are less likely to form at this site.


The final answer is D. 
",D,0.9998918788963919,D,True
2443,Drug effective against pseudomonas is :,"Pseudomonas aeruginosa is a gram-negative bacterium known for its resistance to many antibiotics. 

* **Gentamicin** is an aminoglycoside antibiotic that is effective against Pseudomonas aeruginosa. 

Let's look at the other options:

* **Penicillin G** is a beta-lactam antibiotic primarily effective against gram-positive bacteria.
* **Tetracycline** has a broad spectrum but is less effective against Pseudomonas aeruginosa.
* **Chloramphenicol** is also broad-spectrum but can have serious side effects and is not typically the first-line choice for Pseudomonas infections. 


The final answer is B. 
",B,0.9999932601288115,B,True
2444,Best test to diagnose gastroesophageal reflux disease and quantity acid output is,"The best test to diagnose gastroesophageal reflux disease (GERD) and quantify acid output is **D: 24 Hr pH monitoring**. Here's why:

* **24 Hr pH monitoring** involves placing a small sensor in the esophagus to measure the acidity levels over a 24-hour period. This directly measures acid reflux and provides quantitative data about the extent of the problem.

Let's look at why the other options are less suitable:

* **A: Esohagogram** uses barium swallow to visualize the esophagus, helpful for structural abnormalities but not for measuring acid levels.
* **B: Endoscopy** allows visual examination of the esophagus, stomach, and duodenum, useful for identifying damage caused by GERD but not for quantifying acid output.
* **C: Manometry** measures the pressure and coordination of the esophageal muscles, helpful for diagnosing motility disorders but not directly for measuring acid reflux. 


The final answer is D. 
",D,0.9999981035697885,D,True
2445,Trochlear nerve all true except,"Here's the breakdown:

* **Trochlear Nerve (CN IV):**  This nerve is responsible for controlling the superior oblique muscle, which helps with eye movement (specifically intorsion and depression).

Let's analyze the options:

* **A: Longest intracranial course:**  This is **TRUE**. The trochlear nerve has the longest course within the cranial cavity compared to other cranial nerves.
* **B: Arises from dorsum of brainstem:** This is also **TRUE**.  The trochlear nerve originates from the dorsal aspect of the midbrain.
* **C: Supplies ipsilateral superior oblique muscles:**  This is **TRUE**. The trochlear nerve innervates the superior oblique muscle on the same side (ipsilateral) of the body.
* **D: Enter orbit though sup orbital fissure outside annulus of Zinn:** This is **FALSE**.  The trochlear nerve exits the brainstem and travels through the superior orbital fissure **within** the annulus of Zinn. 

The final answer is D. 


",D,0.9998044227443047,C,False
2446,Substitution of which amino acid in the place of glycine would result in increase in UV absorption of a protein solution,"The answer is **C: Tryptophan**. Here's why:

* **UV Absorption and Amino Acids:**  Proteins absorb ultraviolet (UV) light, primarily due to the presence of aromatic amino acids. 

* **Aromatic Amino Acids:** The amino acids tryptophan (Trp), tyrosine (Tyr), and phenylalanine (Phe) have ring structures that strongly absorb UV light.

* **Glycine and its Substitution:** Glycine (Gly) is the smallest amino acid and lacks an aromatic ring. Substituting it with any of the aromatic amino acids (tryptophan, tyrosine, or phenylalanine) would significantly increase the protein's UV absorption.

* **Why Tryptophan:** While tyrosine and phenylalanine also absorb UV light, tryptophan has the highest absorption coefficient in the UV range.


The final answer is C. 
",C,0.9999631254844893,C,True
2447,"A 54-year-old man comes to the emergency room complaining of severe pain in his right toe. The pain is interfering with his ability to walk and he reports no prior trauma to the toe. He has had multiple less severe episodes in the past, which he always treats with pain medications.On physical examination, the toe is red, inflamed, and exquisitely sensitive to movement. An x-ray of the toe is normal and needle aspiration of the joint confirms uric acid crystals. He is treated with oral indomethacin (NSAID) for 7 days, and 1 month later he remains symptom free. Allopurinol is recommended for prevention of this condition. Which of the following is the most likely mechanism of action of allopurinol?","The patient is presenting with classic symptoms of gout, an inflammatory arthritis caused by the deposition of uric acid crystals in the joints. 

Allopurinol is a drug specifically used to treat and prevent gout. It works by:

* **A: inhibition of xanthine oxidase:** This enzyme is responsible for the final steps in the breakdown of purines, which produce uric acid. By inhibiting xanthine oxidase, allopurinol reduces the production of uric acid in the body.

Let's look at why the other options are incorrect:

* **B: solubilization of uric acid:** While some medications can help dissolve existing uric acid crystals, allopurinol's primary mechanism is to prevent their formation in the first place.
* **C: reactivity with hypoxanthine:**  Allopurinol doesn't directly react with hypoxanthine. 
* **D: anti-inflammatory effect on joint tissue:** While allopurinol can indirectly reduce inflammation by lowering uric acid levels, its main action is on uric acid production, not direct anti-inflammatory effects.


The final answer is A.",A,0.9999993999261041,A,True
2448,Drug that can be used against anaerobic: streptococci: March 2007,"Here's the reasoning:

* **Anaerobic streptococci** are bacteria that thrive in environments without oxygen. 

* **Penicillin (A)** is effective against many bacteria, but it's primarily active against aerobic bacteria.

* **Erythromycin (B)** is a macrolide antibiotic effective against some anaerobic bacteria, but it's not the first-line choice for anaerobic streptococci.

* **Vancomycin (C)** is a powerful antibiotic used for serious infections, often resistant bacteria, but it's not typically used for anaerobic streptococci.

* **Clindamycin (D)** is a lincosamide antibiotic known for its effectiveness against anaerobic bacteria, including streptococci.


The final answer is D.",D,0.999992437126076,D,True
2449,Knife used for harvesting split thickness skin grafts is,"The correct answer for harvesting split thickness skin grafts is **C: Humby's knife**. 

Here's why:

* **Humby's knife** is specifically designed for dermatological procedures, including harvesting split-thickness skin grafts. It has a sharp, curved blade that allows for precise removal of a predetermined thickness of skin.

Let me know if you have any other medical questions! 


The final answer is C. 
",C,0.9999363972304266,C,True
2450,Vagabond disease transmitted by,"Vagabond disease is also known as  **trench fever**, and it is transmitted by **body lice**. 

The final answer is B.  
",B,0.9965937713199822,B,True
2451,Routine spirometry can't estimate :,"Here's the breakdown:

* **Spirometry** is a test that measures lung function by assessing how much air you can inhale, exhale, and how quickly you can exhale. 

Let's look at the options:

* **FRC (Functional Residual Capacity):**  This is the amount of air remaining in the lungs after a normal exhalation. Spirometry alone cannot directly measure FRC.
* **VC (Vital Capacity):** This is the maximum amount of air a person can exhale after a maximum inhalation. Spirometry **can** measure VC.
* **FEV (Forced Expiratory Volume):**  This measures the amount of air forcefully exhaled in a specific time period (e.g., FEV1 is the amount exhaled in the first second). Spirometry **can** measure FEV.
* **ERV (Expiratory Reserve Volume):** This is the amount of air that can be forcefully exhaled after a normal exhalation. Spirometry **can** measure ERV.


**The final answer is A** 
",A,0.9999734463214736,A,True
2452,"LDH, / LDH2 in acute MI is -","LDH (lactate dehydrogenase) is an enzyme found in many tissues, including the heart. When the heart muscle is damaged, as in a myocardial infarction (MI or heart attack), LDH levels in the blood rise. 

LDH2 is a specific isoenzyme of LDH found predominantly in the heart.  

In acute MI, LDH2 levels significantly increase.  A level **>1.0** is considered suggestive of myocardial damage. 

The final answer is **A**. 


",,0.8006119440533525,A,
2453,Reliability of screening test does not mean ?,"Here's why the answer is **C: Validity**.

* **Reliability** in a medical screening test refers to its consistency.  

    * **Reproducibility** and **Repeatability** are both aspects of reliability, meaning the test will give similar results under the same conditions.
    * **Precision** also relates to reliability, indicating how close repeated measurements are to each other.

* **Validity**, on the other hand, refers to whether the test actually measures what it's intended to measure. A test can be reliable (consistent) but not valid (accurate).


The final answer is C. 
",C,0.9999996841761193,C,True
2454,Which among the following is poor prognostic indicator in ALL in children?,"The correct answer is **C: Presence of testicular involvement at presentation**. 

Here's why:

* **ALL (Acute Lymphoblastic Leukemia)** is a cancer of the blood and bone marrow.  

* **Testicular involvement** at the time of diagnosis in ALL is a strong indicator of a more aggressive disease and generally associated with a poorer prognosis. 

Let's look at the other options:

* **A: Age:** While very young children (under 1 year) and older children (over 10 years) may have slightly different prognoses in ALL, age alone is not a definitive poor prognostic factor.
* **B: TLC 4000-10,000:**  This range is within the normal range for total leukocyte count (TLC). A high TLC is actually more common in ALL.
* **D: Presence of blasts in peripheral smear:** This is a diagnostic hallmark of ALL and expected in patients with the disease. 


The final answer is C. 
",C,0.9999619964322644,A,False
2455,Teeth affected by radiation hazard show:,"Radiation exposure can lead to a rapid increase in tooth decay due to damage to the tooth structure and the suppression of the immune system. This type of rapid, widespread decay is known as **rampant caries**. 

The final answer is D. 
",D,0.9999926224612722,D,True
2456,"After 72 hours of Myocardial infarction, the predominant cells are","The predominant cells after 72 hours of myocardial infarction are **macrophages**. 

Here's why:

* **Myocardial infarction (MI)** is a heart attack, causing damage to heart muscle tissue. 
* The initial inflammatory response to MI involves neutrophils, which are a type of leukocyte. 
*  Within 24-72 hours,  **macrophages** become the dominant cell type, playing a crucial role in:
    * **Phagocytosing** (engulfing and destroying) dead cells and debris.
    * **Releasing cytokines** that further regulate the inflammatory response and promote tissue repair.

Let me know if you have any other medical questions!

The final answer is **B**. 


",,0.9999971946204965,B,
2457,Best marker for GIST is,"GIST (Gastrointestinal stromal tumor) is most commonly marked by the presence of the CD117 protein (also known as c-kit).  

The final answer is A. 
",A,0.9999920887310948,A,True
2458,"Guddu if I wear a old female was brought to the emergency with fever, headache and confusion. A provisional diagnosis of bacteria meningitis was made. The baby developed in severe allergic reaction to to penicillin around 6 months back. She was admitted and intravenous antibiotics we're staed . Few days later her investuinvest revealed as Hemoglobin 6.0g/L Erythrocyte count 1.2x10^6/cubic mm Leukocyte count 1500/cubic mm Which of the following is the most likely drug responsible for the above finding","The patient is presenting with severe anemia (low hemoglobin and erythrocyte count) and leukopenia (low white blood cell count) in addition to the initial symptoms of bacterial meningitis.  

**Chloramphenicol (B)** is known to cause these side effects, specifically bone marrow suppression, which leads to anemia and leukopenia.

Here's why the other options are less likely:

* **Gentamicin (A):**  While gentamicin can cause ototoxicity and nephrotoxicity, it's less likely to cause the specific hematological abnormalities described.
* **Doxycycline (C):**  Doxycycline can cause photosensitivity and some gastrointestinal issues but is not typically associated with severe bone marrow suppression.
* **Vancomycin (D):** Vancomycin can cause red man syndrome and ototoxicity, but not the profound anemia and leukopenia seen in this case.


The final answer is **B**. 
",,0.9996048551138158,B,
2459,During sexual differentiation in males :,"Here's the breakdown:

* **SRY gene:** This gene, located on the Y chromosome, is the primary trigger for male sexual differentiation. It initiates the development of the primitive gonads into testes.

Let's look at the options:

* **A: Leydig cells produce Mullerian Inhibiting Substance:**  This is incorrect.  Leydig cells produce testosterone, not Mullerian Inhibiting Substance (MIS). MIS is produced by Sertoli cells in the developing testes.
* **B: Primitive Gonads differentiate into testis due to the presence of SRY gene:** This is **correct**. The SRY gene's presence directs the development of the primitive gonads into testes.
* **C: Androgen binding protein is responsible for the development of male external Genitalia:** This is partially correct.  Androgen binding protein (ABP) helps concentrate testosterone in the testes, which is essential for male development. However, testosterone itself is the primary driver of male external genitalia development.
* **D: Wolffian duct regresses:** This is incorrect. The Wolffian ducts develop into male internal reproductive structures (e.g., epididymis, vas deferens) under the influence of testosterone.  

The Wolffian ducts do not regress. Instead, the Mullerian ducts regress under the influence of MIS.



The final answer is B.",B,0.9999845780356929,B,True
2460,In newborn the most common cause of intestinal obstruction is,"The most common cause of intestinal obstruction in newborns is **C: Duodenal atresia**.  

Duodenal atresia is a congenital condition where a portion of the duodenum (the first part of the small intestine) is closed off. This blockage prevents food from passing into the rest of the digestive system.

Let me know if you have any other medical questions! 

The final answer is C. 
",C,0.9999902507648682,C,True
2461,Radiation exposure occurs in all except:,"Here's the breakdown:

* **CT scan, Plain X-ray, and Fluoroscopy** all use ionizing radiation to create images of the body. 

* **MRI (Magnetic Resonance Imaging)** uses a strong magnetic field and radio waves, not radiation, to produce images.

The final answer is D. 


",D,0.9999998606723564,D,True
2462,Which of the following structure is present over the mediastinal surface of right lung:,"The azygos vein runs along the right side of the chest, traversing the mediastinum and crossing the medial surface of the right lung.  

The other options are incorrect:

* **Right thoracic duct:** Located in the left side of the mediastinum.
* **Aorta:** Situated anterior to the right lung.
* **Trachea:**  Anterior to the heart and the lungs.


The final answer is A. 
",A,0.9998849162264654,A,True
2463,True about gene library -a) Also known as chromosomeb) Library that contains books on genec) Computer base with all gene knowledged) DNA nucleotide or fragmente) Complete collection of gene copies of one organism,"Here's the breakdown:

* **Gene library:** This refers to a collection of DNA fragments representing the entire genome of an organism.  

Let's look at the options:

* **A: ab:**  Incorrect.  A gene library is not the same as a chromosome (which is a single organized structure of DNA).
* **B: bc:** Incorrect. A gene library is not a collection of books about genes. 
* **C: cd:** Incorrect. While a gene library might be partially stored electronically, it's fundamentally a physical collection of DNA fragments.
* **D: de:** This is the **correct** definition of a gene library. It's a complete collection of gene copies from a single organism.

The final answer is D 
",D,0.999980154871995,D,True
2464,Von Wiliebrand disease is associated with -,"Von Willebrand disease is a bleeding disorder caused by a deficiency or dysfunction of von Willebrand factor, a protein that helps platelets adhere to blood vessel walls. 

Here's how the options break down:

* **PTT (Partial Thromboplastin Time):**  This test measures the intrinsic pathway of coagulation. Von Willebrand disease affects platelet function, which is part of the initial stages of clotting, leading to a prolonged PTT.
* **PT (Prothrombin Time):** This test measures the extrinsic pathway of coagulation. Von Willebrand disease primarily affects platelet function, not the extrinsic pathway, so PT is usually normal.
* **BT (Bleeding Time):** This test measures how long it takes for a small cut to stop bleeding.  Von Willebrand disease leads to prolonged bleeding, so BT is usually prolonged.
* **CT (Clot Time):** This test measures the time it takes for a blood clot to form.  Von Willebrand disease can affect clot formation due to impaired platelet function, so CT may also be prolonged.


The correct answer is **C: | PTT; Normal PT; | BT; Normal CT** 

The final answer is C. 
",C,0.05302890251696791,D,False
2465,Gamma radiations are used for sterilizing -,"Gamma radiation is a highly penetrating form of radiation that can effectively kill bacteria, viruses, and other microorganisms.  

Of the options provided, **syringes**, **cystoscopes**, and **metal instruments** are all items that need to be sterilized to prevent the spread of infection. 

Dressing aprons, while important for protection, are primarily designed to prevent the spread of bodily fluids, not necessarily sterilization.

The final answer is **A, B, and D**. 
",,0.6333906328718771,A,
2466,Mesangial deposition of electron dense substance seen in-,"Mesangial deposition of electron-dense substance is a characteristic finding in **IgA nephropathy**.  

Here's why:

* **IgA nephropathy** is characterized by the buildup of immunoglobulin A (IgA) antibodies in the mesangium (a specialized supporting tissue within the glomerulus). This deposition appears as electron-dense material under a microscope.

Let's look at the other options:

* **Membranous nephropathy** involves thickening of the glomerular basement membrane, not primarily mesangial deposition.
* **Minimal change disease** is characterized by minimal to no changes seen under the light microscope. Electron microscopy might reveal foot process effacement.
* **Post-streptococcal glomerulonephritis** shows subepithelial immune complex deposition, not primarily mesangial.


The final answer is A.",A,0.9999963040853852,A,True
2467,C-Reactive protein is not raised in?,"Here's the reasoning:

* **C-Reactive protein (CRP)** is a marker of inflammation.  

Let's look at the options:

* **A: Rheumatic fever:** This is an inflammatory autoimmune disease triggered by a strep infection, so CRP would be elevated.
* **B: Active rheumatoid arthritis:** This is a chronic inflammatory autoimmune disease of the joints, leading to elevated CRP.
* **C: Acute gout:**  Gout is caused by uric acid crystal buildup, leading to inflammation and elevated CRP.
* **D: Viral fever:**  Viral infections often cause inflammation, but CRP elevation is not always significant or consistent with viral illnesses.

**The final answer is D** 


",D,0.992917602381559,D,True
2468,Shigella associated hemolytic uramic syndrome is associated with all of the following except -,"Here's the breakdown:

* **Hemolytic uremic syndrome (HUS)** is characterized by hemolytic anemia (destruction of red blood cells), thrombocytopenia (low platelet count), and acute kidney injury.

* **Shigella** is a bacteria that can cause severe diarrhea and, in some cases, HUS.

Let's look at the options:

* **A: Hyperkalemia:**  HUS can lead to impaired kidney function, which can cause hyperkalemia (high potassium levels).
* **B: Thrombocytopenia:**  Thrombocytopenia is a hallmark symptom of HUS. 
* **C: Neurological symptom:** While some HUS cases can have neurological complications, it's not a defining feature.
* **D: Renal microthrombi:**  HUS is caused by microthrombi (tiny blood clots) forming in the small blood vessels of the kidneys, leading to kidney damage.

**The final answer is C** 


",C,0.9998423107290331,C,True
2469,"A patient presents with severe pain in right upper quadrant associated with nausea and vomiting, exacerbation during inspiration and tenderness on palpation. Which of the following is the imaging modality of choice for the above patient?","The patient's symptoms (right upper quadrant pain, nausea, vomiting, pain with inspiration, and tenderness) are highly suggestive of cholecystitis, an inflammation of the gallbladder. 

**Ultrasonography (A)** is the imaging modality of choice for diagnosing cholecystitis. It is readily available, relatively inexpensive, and can visualize the gallbladder and surrounding structures effectively. 

Let's look at why the other options are less suitable:

* **CT Scan (B):** While CT scans are excellent for detailed imaging, they are more invasive (exposure to radiation) and not the first-line choice for suspected cholecystitis.
* **MRI (C):**  MRI is not typically used for diagnosing acute cholecystitis due to its higher cost, longer scan time, and limited availability compared to ultrasound.
* **X-ray (D):** X-rays are not sensitive enough to visualize the gallbladder well.

The final answer is A. 


",A,0.9999966502194114,A,True
2470,A variety of causative factors have been implicated in the development of Ca esophagus. Which of the following is NOT a predisposing factor for Ca esophagus?,"Here's the reasoning:

* **Ca esophagus** refers to esophageal cancer.

Let's analyze each option:

* **A: Diveicula** - This appears to be a misspelling of ""diverticula"".  Diverticula (small pouches in the esophagus) can be a predisposing factor for esophageal cancer.
* **B: Human papilloma virus (HPV)** -  HPV is linked to certain types of cancers, including some head and neck cancers.  While the connection to esophageal cancer is less direct, some studies suggest a possible link.
* **C: Mediastinal fibrosis** - Fibrosis (scarring) in the mediastinum (the area around the heart and lungs) can create conditions that increase the risk of esophageal cancer.
* **D: Caustic ingestion** -  Severe burns to the esophagus caused by ingesting strong acids or alkalis are a major risk factor for esophageal cancer.


**The final answer is A** 
",A,0.701235990758051,C,False
2471,Unilateral undescended testes is ideally operated around –,"The ideal age for surgery to correct an undescended testicle (unilateral cryptorchidism) is **between 6 and 18 months of age**.  

Here's why:

* **Earlier surgery (A & B):**  The testicle might still have a chance to descend spontaneously, and surgery at a very young age carries slightly higher risks.
* **Later surgery (D):** The chances of spontaneous descent decrease significantly after 1 year.  Waiting too long increases the risk of complications like infertility and testicular cancer.

**The final answer is B** 
",B,0.9825571118407253,B,True
2472,"Pearl index is used to calculate: March, September 2009","The Pearl Index is a measure of the effectiveness of a contraceptive method. It is calculated as the number of pregnancies per 100 women using the method for one year. 

Therefore, the correct answer is **A: Accidental pregnancies**.


The final answer is A. 
",A,0.9979825549570653,A,True
2473,Unconjugated hyperbilirubinemia in neonate is seen in all of the following except –,"Here's the reasoning:

* **Unconjugated hyperbilirubinemia** means there's a high level of bilirubin in the blood that hasn't been processed by the liver (conjugated).

Let's look at the options:

* **A: Physiological jaundice:**  This is common in newborns and is caused by the immature liver's inability to process bilirubin efficiently. This leads to unconjugated hyperbilirubinemia.
* **B: Dubin-Johnson syndrome:**  This is a genetic disorder affecting bilirubin excretion by the liver, resulting in unconjugated hyperbilirubinemia.
* **C: Hypothyroidism:**  While hypothyroidism can cause jaundice, it usually presents with conjugated hyperbilirubinemia due to the liver's impaired function.
* **D: Hemolytic anemia:**  This condition breaks down red blood cells faster than the liver can process the bilirubin, leading to unconjugated hyperbilirubinemia.


The final answer is C. 
",C,0.9995149614302249,B,False
2474,At bih eye is usually,"The question asks about the usual refractive state of a ""bih eye"".  This likely means ""both eyes"". 

* **Hypermetropic (A):**  Farsightedness.  
* **Myopic (B):** Nearsightedness.
* **Emmetropic (C):** Normal vision, able to focus clearly at both near and far distances.
* **Aniseikonic (D):**  Different image sizes are perceived in each eye.

The most common refractive state in a healthy population is emmetropia.


The final answer is C. 
",C,0.9995440374490706,A,False
2475,Which of the following is true regarding non-competitive enzyme inhibition?,"Here's the reasoning:

* **Non-competitive inhibition** involves an inhibitor binding to an enzyme at a site other than the active site. This binding changes the enzyme's shape, making it less effective at catalyzing the reaction.

*  **Vmax (maximum velocity)** represents the maximum rate of the enzyme-catalyzed reaction.  Non-competitive inhibitors reduce the number of active enzyme molecules available, thus lowering the maximum rate achievable.

* **Km (Michaelis constant)** reflects the affinity of the enzyme for its substrate. Non-competitive inhibitors do not affect the enzyme's affinity for the substrate.


**Therefore, the correct answer is B: Vmax decreases.**

The final answer is B. 
",B,0.9999985166256969,B,True
2476,"A 64-year-old man who has worked in a manufacturing plant all his life complains of an 8-month history of chest discomfort, malaise, fever, night sweats, and weight loss. A chest X-ray reveals a pleural effusion and pleural mass encasing the lung. The patient subsequently dies of cardiorespiratory failure. Histologic examination of the pleural mass at autopsy shows a biphasic pattern of epithelial and sarcomatous elements. What is the most likely diagnosis?","Here's the reasoning:

* **The patient's history:** Exposure to manufacturing plant environments can increase the risk of asbestos exposure, a major risk factor for mesothelioma.  The symptoms (chest discomfort, malaise, fever, night sweats, weight loss) are also common in mesothelioma.
* **The physical exam findings:** Pleural effusion (fluid buildup in the pleural space) and a pleural mass are characteristic of mesothelioma.

* **The histologic findings:** A biphasic pattern of epithelial and sarcomatous (cancerous connective tissue) elements is highly suggestive of malignant mesothelioma.


The final answer is D. 
",D,0.999998824137711,D,True
2477,False regarding NK cells:,"Here's the breakdown:

* **NK cells (Natural Killer cells)** are part of the innate immune system, meaning they respond quickly to threats without needing prior exposure. 

Let's analyze each option:

* **A: NK cell activity is augmented by interferons** -  This is **true**. Interferons are signaling molecules produced during viral infections, and they enhance NK cell activity.
* **B: Initial response in viral infection** - This is also **true**. NK cells are among the first responders to viral infections, helping control the spread before the adaptive immune system fully activates.
* **C: Active against tumour cells** -  This is **true**. NK cells can recognize and kill abnormal cells, including tumor cells, that display stress signals.
* **D: MHC restricted** - This is **false**. NK cells are unique because they do **not** require MHC (Major Histocompatibility Complex) molecules to recognize their targets. This is unlike T cells, which are part of the adaptive immune system and are MHC-restricted.

The final answer is D. 
",D,0.9999978257593267,D,True
2478,Which of the following carries higher risk of DVT and pulmonary thromboembolsim: March 2013,"The answer is **C: Hip surgeries**. 

Here's why:

* **Deep Vein Thrombosis (DVT)** and **Pulmonary Thromboembolism (PE)** are blood clots.  

* **Hip surgeries** involve major orthopedic procedures that often lead to prolonged immobilization.  This inactivity significantly increases the risk of blood clots forming in the legs (DVT), which can then travel to the lungs (PE).

While the other options can contribute to an increased risk of DVT/PE, they are not as directly associated as hip surgeries:

* **Hand surgery** is generally less invasive and doesn't involve the same level of immobility.
* **Breast surgery** can have some risk, but it's generally lower than hip surgery.
* **Obesity** is a risk factor for DVT/PE but not as directly causative as a major surgery.


The final answer is C. 
",C,0.9999945584637066,C,True
2479,Which of the following does not need treatment,"All of the options listed are types of cancer and require treatment.  

* **Neuroblastoma** is a childhood cancer that affects nerve cells.
* **Burkitt's lymphoma** is a fast-growing type of cancer that affects the lymphatic system.
* **T cell lymphoblastic leukemia** is a type of blood cancer that affects T cells.
* **AML (Acute Myeloid Leukemia)** is a type of blood cancer that affects the bone marrow. 


The final answer is None of the above. 
",,0.9743721536853522,A,
2480,Which of the following anti leprosy drugs is used in treatment of type 2 lepra reaction:,"Type 2 lepra reaction, also known as the reversal reaction, is an inflammatory response that can occur during treatment of leprosy.  

**Clofazimine** is known to be particularly effective in managing type 2 lepra reactions due to its anti-inflammatory properties. 

The other options are primary anti-leprosy drugs but not specifically known for managing reactions.


The final answer is A.",A,0.9998224509961764,A,True
