,question,options,response,answer,p_true,true_answer,correct
1846,In which of the following conditions uniform dilation of esophagus is seen,"['Scleroderma', 'Trypanosoma cruzi infection', 'Dermatomysitis', 'BD']","To determine the correct answer, let's analyze each option:

A. Scleroderma: This is an autoimmune disease characterized by hardening and tightening of the skin and connective tissues due to excessive collagen deposits. It can affect the gastrointestinal tract, leading to esophageal dysmotility and often causing a beak-like narrowing at the lower esophageal sphincter, not uniform dilation.

B. Trypanosoma cruzi infection: This parasite causes Chagas disease, which can affect the heart and digestive system. In the gastrointestinal tract, it can lead to megacolon and megaesophagus, which involves dilation, but it is not typically uniform.

C. Dermatomyositis: This is an inflammatory disease of the muscles and skin. It can affect the esophagus, but it generally causes motility disorders and strictures, not uniform dilation.

D. BD (Beckwith-Wiedemann Syndrome): This is a genetic disorder characterized by overgrowth and an increased risk of certain cancers. It can affect the esophagus, but it is not specifically associated with uniform dilation.

The condition most commonly associated with uniform dilation of the esophagus is:

The final answer is B.",B,6.371201451422661e-08,D,False
1847,Pseudoparalysis in an infant is suggestive of ?,"['Acute Rheumatic fever', 'Vitamin B6 deficiency', 'Vitamin E deficiency', 'Vitamin C deficiency']","Pseudoparalysis in an infant, also known as ""Todd's paresis,"" is a transient paralysis that occurs after a febrile illness, most commonly following a febrile seizure or an acute febrile illness. This condition is most often associated with Acute Rheumatic Fever (ARF), which can follow a streptococcal infection and is characterized by a variety of symptoms including carditis, arthritis, subcutaneous nodules, erythema marginatum, and neurological symptoms like pseudoparalysis.

Let's evaluate the options:
A. Acute Rheumatic fever - This is the most likely condition given the description of pseudoparalysis following a febrile illness.
B. Vitamin B6 deficiency - Pseudoparalysis is not a symptom of vitamin B6 deficiency.
C. Vitamin E deficiency - Pseudoparalysis is not a symptom of vitamin E deficiency.
D. Vitamin C deficiency - While vitamin C deficiency can cause other health issues, it is not typically associated with pseudoparalysis.

The final answer is A.",A,0.999979892391712,D,False
1848,A 70 year old man develops pneumonia and septicemia. Patient goes into renal failure and has a BP of 70/50 mm of Hg. Drug that should be used to maintain BP is:,"['Adrenaline', 'Ephedrine', 'Phenylephrine', 'Nor epinephrine']","To determine the correct drug to maintain blood pressure in this scenario, we need to consider the patient's condition and the pharmacological properties of the options provided.

- **Adrenaline (Epinephrine)**: This drug causes significant vasoconstriction and an increase in heart rate. While it can raise blood pressure, it can also cause tachycardia and potentially lead to arrhythmias. It's generally not the first choice for hypotension in septic shock due to its cardiac effects.
  
- **Ephedrine**: This drug primarily causes vasodilation initially, followed by vasoconstriction. It can be used in hypotension but has less predictable effects and can cause tachycardia and hypertension.
  
- **Phenylephrine**: This drug is a selective alpha-1 agonist, which means it causes strong vasoconstriction with minimal effect on the heart rate. This makes it a good option for treating hypotension in septic shock as it can raise blood pressure without significantly affecting the heart rate.
  
- **Nor epinephrine (Norepinephrine)**: This is a potent alpha-1 agonist with some beta-1 agonist properties. It causes strong vasoconstriction and can raise blood pressure, but it can also increase heart rate and can be associated with arrhythmias, making it less ideal for the first-line treatment of septic shock.

Given that the patient is in septic shock and has renal failure, the goal is to maintain blood pressure without causing excessive cardiac burden or arrhythmias. Phenylephrine is a good choice because it primarily targets vasoconstriction without significantly affecting the heart rate.

The final answer is C",C,0.9995593082394453,D,False
1849,The coronoid process:,"['Limits the extension of maxillary posterior teeth setting', 'Limits the thickness of the distobuccal flange of the upper complete denture', 'Limits the thickness of the distobuccal flange of the lower complete denture', 'Determines PPS']","The coronoid process is a bony prominence on the temporal bone that forms part of the zygomatic arch. It plays a role in limiting the range of jaw movement, particularly in preventing excessive opening of the mouth. Specifically, it limits the range of motion that would otherwise allow the mandible to be pulled posteriorly and superiorly, which is relevant to the positioning of the lower jaw and the setting of posterior teeth in dentures.

Given the options provided:
A. This option refers to the maxillary teeth, which are not directly influenced by the coronoid process in terms of setting.
B. This option is about the upper complete denture, which is less relevant to the coronoid process's function.
C. This option concerns the lower complete denture and is the correct choice because the coronoid process limits the vertical movement of the mandible, which affects the positioning of the lower teeth.
D. This option is not clearly defined, but it seems to suggest a determination of a specific point or position, which is not the role of the coronoid process.

The final answer is C",C,0.9990815891506196,B,False
1850,Greater than 30 g of fat is excreted in feces per day. The cause is,"['Exocrine pancreatic insufficiency', 'Rapid transient diarrhea', 'Small intesitnal disease', 'Normal']","Let's analyze each option:

A. Exocrine pancreatic insufficiency: This condition occurs when the pancreas does not produce enough digestive enzymes. Without these enzymes, fats in the diet cannot be properly broken down, leading to fat malabsorption and consequently, an increased amount of fat in the feces.

B. Rapid transient diarrhea: This is a type of diarrhea that is often associated with viral or bacterial infections and does not typically lead to significant fat malabsorption unless it is severe or prolonged.

C. Small intestinal disease: While diseases of the small intestine can lead to malabsorption, they generally do not cause such a specific or dramatic increase in fat excretion as exocrine pancreatic insufficiency does.

D. Normal: Normal fecal fat excretion is typically less than 7 g per day, so more than 30 g is not considered normal.

Given the context of the question, the most likely cause of greater than 30 g of fat excreted in feces per day is exocrine pancreatic insufficiency.

The final answer is A.",A,0.9999971255431632,A,True
1851,"The primary reason for replacing teeth destroyed due to
nursing bottle syndrome is","['Speech and esthetics', 'Form and function', 'Incising and mastication', 'Arch perimeter requirements in the transitional dentition']","To determine the primary reason for replacing teeth destroyed due to nursing bottle syndrome, we need to consider the main impacts of such tooth destruction on the child's oral health and development.

Nursing bottle syndrome, also known as baby bottle tooth decay, results from prolonged exposure of the teeth to sugary liquids, leading to severe tooth decay. The primary consequences of this condition include:

1. **Speech and Esthetics**: While speech and appearance are important, they are not the primary functional concerns in early childhood.
2. **Form and Function**: The primary concern with tooth decay is how it affects the child's ability to eat and speak properly. Decayed teeth can impair proper chewing (mastication) and could also affect speech development.
3. **Incising and Mastication**: Incising refers to the cutting action of the teeth, which is crucial for proper chewing. Mastication (chewing) is essential for digestion and overall nutrition. Replacing teeth destroyed due to nursing bottle syndrome primarily aims to restore the ability to chew and eat properly.
4. **Arch Perimeter Requirements in the Transitional Dentition**: This option is more relevant to the space management in the oral cavity during the transitional dentition phase, but it is not the primary reason for replacing teeth destroyed due to nursing bottle syndrome.

Considering the primary functional impacts of tooth decay in early childhood, the most appropriate answer is related to the ability to chew and eat properly.

The final answer is B.",B,0.9227515391376988,A,False
1852,All of the following are in the superficial perineal space of the male EXCEPT the,"['Bulb of the penis', 'Crus of the penis', 'Bulbourethral gland', 'Bulbospongiosus muscle']","Let's reason through this step-by-step:

1. First, we need to understand what the superficial perineal space is. It is a potential space in the male perineum that lies between the deep and superficial fascia.

2. Now, let's consider each option:
   - A. Bulb of the penis: This is a part of the penis that is indeed found in the superficial perineal space.
   - B. Crus of the penis: The crura of the penis are the two structures that extend inferiorly from the base of the penis. They are not typically found in the superficial perineal space.
   - C. Bulbourethral gland: Also known as Cowper's glands, these glands are found in the superficial perineal space.
   - D. Bulbospongiosus muscle: This muscle is part of the superficial perineal space and surrounds the corpus spongiosum and urethra.

3. From the above, we can see that the crus of the penis (option B) is the only structure that is not typically found in the superficial perineal space.

The final answer is B",B,0.9990252383855229,C,False
1853,"A 62-year-old man is admitted to the hospital with dull, diffuse abdominal pain. A CT scan reveals a tumor at the head of the pancreas. The abdominal pain is mediated by afferent fibers that travel initially with which of the following nerves?","['Greater thoracic splanchnic', 'Intercostal', 'Phrenic', 'Vagus']","To determine which nerve mediates the afferent fibers for abdominal pain from the head of the pancreas, we need to consider the anatomy and innervation of this region.

The head of the pancreas is located retroperitoneally and is innervated by both sympathetic and parasympathetic fibers. For afferent (sensory) fibers, the main nerve involved in abdominal pain is the vagus nerve (Cranial Nerve X). The vagus nerve provides sensory innervation to the upper abdominal region, including the pancreas.

The other options are not primarily involved in abdominal pain:
- The greater thoracic splanchnic nerves (A) are involved in sympathetic innervation and are more relevant to visceral motor functions.
- The intercostal nerves (B) are involved in thoracic and abdominal wall sensation but not primarily in visceral sensation.
- The phrenic nerve (C) is involved in innervating the diaphragm and not typically in abdominal pain.

Thus, the afferent fibers for the dull, diffuse abdominal pain from the head of the pancreas are primarily mediated by the vagus nerve.

The final answer is D.",D,0.47751014628961047,A,False
1854,Advantage of Minimal access surgery,"['Heat loss', 'Better Hemostasis control', 'Improved vision', 'In wound pain']","To determine the correct answer, let's analyze each option in the context of minimal access surgery (MAS), also known as minimally invasive surgery (MIS).

A. Heat loss: Minimal access surgery does not inherently reduce heat loss. This is more related to energy conservation or thermal management in different contexts, not a primary benefit of MAS.

B. Better Hemostasis control: MAS can provide better hemostasis (control of bleeding) because smaller incisions and less tissue damage can lead to less bleeding. This is a significant advantage, especially in procedures where bleeding is a concern.

C. Improved vision: Improved vision is more relevant to endoscopic procedures, which are a subset of MAS, but it is not a general advantage of minimal access surgery. Better visualization is a benefit of certain types of minimally invasive procedures, but it is not a universal advantage.

D. In wound pain: While reduced scarring and smaller incisions can lead to less post-operative pain, this is not the most significant or universal advantage of minimal access surgery. Pain reduction is a benefit but not the primary advantage.

Considering the primary advantages of minimal access surgery, the most accurate answer is B. Better Hemostasis control.

The final answer is B",B,0.8834981359776926,C,False
1855,Sideroblastic anemia is seen in chronic poisoning of,"['Lead', 'Arsenic', 'Copper', 'Mercury']","Sideroblastic anemia is characterized by the presence of ringed sideroblasts in the bone marrow and a lack of hemoglobin in red blood cells. This type of anemia is often associated with chronic exposure to certain toxic substances that interfere with iron utilization in the heme synthesis pathway. Among the options provided:

A. Lead - Chronic lead poisoning can indeed cause sideroblastic anemia. Lead interferes with iron metabolism and heme synthesis.
B. Arsenic - While arsenic exposure can lead to various hematological issues, it is not typically associated with sideroblastic anemia.
C. Copper - Copper deficiency can lead to anemia, but it is not a primary cause of sideroblastic anemia.
D. Mercury - Mercury poisoning primarily affects the nervous system and kidneys, and is not commonly linked to sideroblastic anemia.

The final answer is A.",A,0.9995178318499676,A,True
1856,The major vitamin deficiency in Wernicke's encephalopathy is :,"['B1', 'B2', 'B6', 'B12']","Wernicke's encephalopathy is a neurological disorder caused by a deficiency in thiamine (vitamin B1). This condition often occurs in individuals with poor nutrition, chronic alcoholism, or those who have undergone gastric bypass surgery. Therefore, the correct answer is:

The final answer is A",A,0.9999998437095187,A,True
1857,Factor responsible for Cardiac Hyperophy is?,"['ANF', 'TNF alpha', 'c-myc', 'TGF beta']","To determine the correct answer, let's break down each option:

A. ANF (Atrial Natriuretic Factor) - ANF is involved in regulating blood pressure and volume, primarily by promoting natriuresis and diuresis. It is not directly responsible for cardiac hypertrophy.

B. TNF alpha (Tumor Necrosis Factor alpha) - TNF alpha is more involved in inflammation and immune responses rather than cardiac hypertrophy.

C. c-myc - c-myc is a transcription factor that can promote cell growth and proliferation. In the context of cardiac hypertrophy, it can play a role in the development of the condition, particularly in response to pressure overload.

D. TGF beta (Transforming Growth Factor beta) - TGF beta is known to play a role in fibrosis and can contribute to cardiac hypertrophy, particularly through the promotion of myofibroblast differentiation and collagen synthesis.

Given these explanations, the most direct and well-documented factor responsible for cardiac hypertrophy is c-myc, as it is involved in the transcriptional regulation that leads to cell growth and hypertrophy.

The final answer is C.",C,0.9911846551926564,C,True
1858,Following features are true about lipid insoluble beta blockers except?,"['Do not cross blood brain barrier', 'Have good membrane stabilizing effect', 'Incompletely absorbed orally', 'Are long acting']","To determine the correct answer, let's analyze each option regarding lipid insoluble beta blockers:

A. Do not cross the blood brain barrier: Lipid insoluble beta blockers are indeed designed to not cross the blood brain barrier, which is a key feature that helps prevent side effects related to the central nervous system.

B. Have good membrane stabilizing effect: Lipid insoluble beta blockers are known for their ability to stabilize cell membranes, which is a significant therapeutic effect.

C. Incompletely absorbed orally: This is generally true for lipid insoluble beta blockers. They have poor oral absorption due to their chemical properties.

D. Are long acting: Lipid insoluble beta blockers are typically not described as long-acting. In fact, they are often short-acting because they are not easily absorbed and do not stay in the body for extended periods.

Given these points, the feature that does not apply to lipid insoluble beta blockers is D.

The final answer is D.",D,0.7681611097045148,B,False
1859,Superior Gluteal Nerve supplies ail except:,"['Gluteus Minimus', 'Gluteus Medius', 'Gluteus Maximus', 'Tensor Fascia Lata']","To determine which muscle the superior gluteal nerve does not supply, we need to understand the anatomical distribution of this nerve. The superior gluteal nerve, a branch of the posterior division of the sacral plexus, primarily innervates the gluteus minimus and gluteus medius muscles. It does not directly supply the gluteus maximus, which is innervated by the inferior gluteal nerve. Additionally, the tensor fascia lata is also innervated by the superior gluteal nerve.

Given this information, the muscle that is not supplied by the superior gluteal nerve is:

C. Gluteus Maximus

The final answer is C.",C,0.9999898782091492,C,True
1860,Who among the following has contributed to the development of neuro-otology and is considered as the father of 'nen ro-otology'?,"['Julius Lampa', 'John J. Shea Jr', 'William F. House', 'Hales Main']","Julius Lampa is widely recognized for his contributions to the field of neuro-otology and is often referred to as the ""father of neuro-otology."" He made significant advancements in the understanding and treatment of disorders related to the ear, brain, and their associated nerves.

The final answer is A",A,0.9979832410765671,C,False
1861,What is the amount of time required by erupting premolar to move through 1 mm of bone as measured on a bite-wing radiograph?,"['3-4 months', '4-5 months', '5-6 months', '6-7 months']","To determine the correct answer, we need to consider the average rate of tooth eruption for premolars. Premolars typically erupt at a rate of about 0.2 to 0.4 mm per month. To move through 1 mm of bone, it would take approximately 2.5 to 5 months. Given the options provided:

A. 3-4 months (approximately 3.3 months)
B. 4-5 months (approximately 4.5 months)
C. 5-6 months (approximately 5.5 months)
D. 6-7 months (approximately 6.5 months)

The closest range to the calculated time is option B, 4-5 months, which aligns well with the average eruption rate for premolars.

The final answer is B",B,0.9999935384242985,B,True
1862,"A young girl has had repeated infections with Candida albicans and respiratory viruses since she was 3 months old. As part of the clinical evaluation of her immune status, her responses to routine immunization procedures should be tested. In this evaluation, the use of which of the following vaccines is contraindicated?","['Bacillus Calmette-Guerin (BCG)', 'Bordetella pertussis vaccine', 'Diphtheria toxoid', 'Inactivated polio']","Let's analyze the options given in the context of the patient's condition. The patient has had repeated infections with both Candida albicans and respiratory viruses. This suggests a compromised immune system. 

1. **Bacillus Calmette-Guerin (BCG)**: This vaccine is used to prevent tuberculosis. While it is live but attenuated, it is generally considered safe for immunocompetent individuals and those with normal immune systems. However, in immunocompromised individuals, there is a risk of disseminated BCG disease, which can be severe. This risk is particularly high in patients with chronic granulomatous disease, severe combined immunodeficiency, or other severe immunodeficiencies.

2. **Bordetella pertussis vaccine (DTP or DTaP)**: This vaccine is a combination vaccine that protects against pertussis, diphtheria, and tetanus. It contains components that can cause reactions in individuals with severe allergies to diphtheria or tetanus toxoids, but it is not contraindicated based on the patient's history of repeated infections.

3. **Diphtheria toxoid**: This is a component of the DTP vaccine and is generally safe for immunocompromised individuals when combined with other components in a properly formulated vaccine.

4. **Inactivated polio vaccine (IPV)**: This vaccine does not contain live virus, only inactivated viral components, and is safe for immunocompromised individuals.

Given that the patient has had repeated fungal and viral infections, the risk of disseminated BCG disease is significant, making this vaccine contraindicated.

The final answer is A.",A,0.9999955848265529,A,True
1863,Pinch purpura is diagnostic of –,"['Systemic primary amyloidosis', 'Secondary systemic amyloidosis', 'Idiopathic thrombocytopenic purpura', 'Drug induced purpura']","Pinch purpura, also known as chilblain lupus or palpable purpura, is a clinical sign associated with systemic lupus erythematosus (SLE) and is often seen in patients with antiphospholipid syndrome. It typically presents as painful, palpable purpura on the legs and is not specific to any of the conditions listed but is more characteristic of a specific condition like SLE or antiphospholipid syndrome. However, among the given options, none directly mention SLE or antiphospholipid syndrome. 

Given the options provided:
A. Systemic primary amyloidosis - This condition is related to protein deposits in organs and tissues but is not specifically associated with pinch purpura.
B. Secondary systemic amyloidosis - This condition can be related to chronic inflammation but is not specifically linked to pinch purpura.
C. Idiopathic thrombocytopenic purpura - This condition involves low platelet counts and bleeding, but it is not associated with pinch purpura.
D. Drug induced purpura - Certain drugs can cause a type of vasculitis leading to purpura, but it is not specifically related to pinch purpura.

None of the options directly mention the conditions associated with pinch purpura. However, if we consider the closest match, it is often related to conditions like SLE, which is not listed here. But, if we have to choose based on the given options, none stands out as a direct association with pinch purpura.

The final answer is [D]",D,1.0087667917873372e-08,A,False
1864,Most common cause of gangrene of foot of a 30 year old farmers who is a chronic smoker,"['Atherosclerosis', ""Raynaud's disease"", 'Thromboangiitis obliterans', 'Myocardial infarction']","To determine the most common cause of gangrene of the foot in a 30-year-old farmer who is a chronic smoker, let's analyze each option:

A. Atherosclerosis: This condition involves the narrowing and hardening of arteries due to a buildup of plaque. While it can cause gangrene, it is more commonly seen in older individuals and those with atherosclerosis risk factors like high cholesterol, diabetes, and hypertension, rather than in a 30-year-old.

B. Raynaud's disease: This condition causes episodes of reduced blood flow to the extremities, usually in response to cold or stress. It does not typically lead to gangrene.

C. Thromboangiitis obliterans (Buerger's disease): This is a chronic inflammation of blood vessels that occurs almost exclusively in young to middle-aged men who smoke. It is characterized by blood clots in the arteries and veins of the extremities, leading to gangrene. This condition fits the description of a 30-year-old farmer who is a chronic smoker.

D. Myocardial infarction: This is a heart attack, which is less likely to directly cause gangrene of the foot, especially in a young individual.

Considering the patient's age, occupation, and smoking habit, the most likely cause of gangrene in this case is Thromboangiitis obliterans.

The final answer is C",C,0.9999949703858068,C,True
1865,Placental abnormality related to PPH is?,"['Placenta accreta', 'Placenta percreta', 'Retained placental', 'All the above']","Let's break down the options:

A. Placenta accreta: This is a condition where the placenta attaches too deeply into the uterine wall, making it difficult to separate from the wall after delivery, which can lead to significant postpartum hemorrhage (PPH).

B. Placenta percreta: This is an even more severe condition where the placenta not only attaches deeply into the uterine wall but also grows through the wall into nearby organs or structures. This condition also significantly increases the risk of PPH.

C. Retained placental: This refers to the placenta not being completely expelled from the uterus after delivery, which can lead to PPH.

D. All the above: Since all three conditions (A, B, and C) can be associated with placental abnormalities leading to PPH, this option encompasses all of the above scenarios.

Given this reasoning, the final answer is D.",D,0.9999998400553661,D,True
1866,Best method to show trend of events with passage of time is?,"['Line diagram', 'Bar diagram', 'Histogram', 'Pie chart']","To determine the best method to show the trend of events with the passage of time, we need to consider the characteristics of each type of diagram:

- **Line diagram**: This type of diagram is used to show trends over time. It connects individual data points with lines, making it easy to observe how a variable changes over a continuous period.
- **Bar diagram**: This is used to compare quantities of different categories. It does not show trends over time as effectively as a line diagram.
- **Histogram**: This is used to represent the distribution of a single variable by dividing the data into intervals and showing the frequency of data points in each interval. It is not suitable for showing trends over time.
- **Pie chart**: This is used to show the proportion of different categories within a whole. It does not effectively display trends over time.

Given these explanations, the best method to show the trend of events with the passage of time is a line diagram.

The final answer is A.",A,0.999999408780844,A,True
1867,"A patient presented with fever, cervical lymphadenopathy and night sweats four weeks after unprotected sexual contact. Next investigation","['p24', 'ELISA', 'CD4', 'HIV PCR']","Given the patient's symptoms of fever, cervical lymphadenopathy, and night sweats four weeks after unprotected sexual contact, these could be signs of early HIV infection, also known as seroconversion. The most appropriate next step would be to confirm the presence of HIV by looking for the virus itself. HIV PCR (nucleic acid test) is the most sensitive test for detecting the virus and can be positive as early as 10-14 days after exposure.

The final answer is D.",D,0.9996274949633135,A,False
1868,More resistance in expiration is due to:,"['Increased compression of airway', 'Due to change from linear to turbulent flow', 'Saturation with moisture', 'Increased rate of flow during expiration']","To determine the correct answer, let's analyze each option:

A. Increased compression of airway: While increased compression of the airway can affect airflow, it is not the primary cause of more resistance in expiration.

B. Due to change from linear to turbulent flow: Turbulent flow occurs when air moves in an unsteady, chaotic manner, which generally increases resistance. This is more common during expiration because the airway is narrower and the air velocity is higher.

C. Saturation with moisture: While moisture can affect the airway, it does not directly cause an increase in expiration resistance.

D. Increased rate of flow during expiration: An increased rate of flow can contribute to resistance but is not the primary cause of more resistance in expiration.

The primary cause of increased resistance in expiration is the change from linear to turbulent flow, which is a known physiological phenomenon.

The final answer is B.",B,0.9999953590006186,A,False
1869,Temporal pallor in optic disc seen in all except,"['Optic neuritis', 'Compression of optic nerve', ""Leber's hereditary optic neuritis"", 'Glaucoma']","To determine the correct answer, let's analyze each option in the context of temporal pallor in the optic disc:

A. Optic neuritis: This condition involves inflammation of the optic nerve, which can lead to changes in the appearance of the optic disc, including temporal pallor.

B. Compression of optic nerve: Compression of the optic nerve can cause similar changes to the optic disc, leading to temporal pallor.

C. Leber's hereditary optic neuropathy (LHON): This condition primarily affects the central vision and can cause changes in the appearance of the optic disc, but temporal pallor is not a typical feature.

D. Glaucoma: Advanced glaucoma can cause cupping of the optic disc and other changes, including pallor, which can sometimes appear in the temporal region.

Based on the above analysis, temporal pallor in the optic disc is not a typical feature of Leber's hereditary optic neuropathy.

The final answer is C",C,0.8834335476343068,D,False
1870,Anti glaucoma drug that act by increasing uvea scleral outflow is?,"['Latanoprost', 'Timolol', 'pilocarpine', 'Dorzolamide']","To determine the correct answer, let's consider the mechanism of action for each of the provided drugs:

A. Latanoprost: This is a prostaglandin F2α analogue that increases the outflow of aqueous humor through the uveoscleral pathway.

B. Timolol: This is a beta-adrenergic receptor antagonist that decreases the production of aqueous humor. It does not act by increasing uvea-scleral outflow.

C. Pilocarpine: This is a cholinergic agonist that increases outflow by constricting the iris and opening the trabecular meshwork.

D. Dorzolamide: This is a carbonic anhydrase inhibitor that reduces the production of aqueous humor.

Given that the question specifies an increase in uvea-scleral outflow, Latanoprost is the correct choice as it is specifically known for this mechanism.

The final answer is A.",A,0.9999859952332026,A,True
1871,"""Lift off' and ""Belly Press"" tests are done to examine which of the following rotator cuff muscle?","['Teres Minor', 'Supraspinatus', 'Subscapularis', 'Infraspinatus']","To determine which rotator cuff muscle is being tested by the ""Lift off"" and ""Belly Press"" tests, let's analyze each option:

- **Teres Minor (A)**: This muscle is part of the rotator cuff but is not typically the primary target of these specific tests. The tests are more focused on the larger muscles of the rotator cuff.

- **Supraspinatus (B)**: This muscle is crucial for the initial abduction of the arm and is the primary muscle targeted by the ""Lift off"" test. It helps to lift the arm away from the body. However, the ""Belly Press"" test is not typically associated with this muscle.

- **Subscapularis (C)**: This muscle is the primary internal rotator of the shoulder and is not directly tested by either the ""Lift off"" or ""Belly Press"" tests. These tests focus more on external rotation.

- **Infraspinatus (D)**: This muscle is the primary external rotator of the shoulder and is the target of the ""Belly Press"" test. The ""Lift off"" test, while more commonly associated with the Supraspinatus, is still often used to assess the overall integrity of the rotator cuff, and the Infraspinatus plays a role in these tests.

Given the descriptions of the tests and their focus on external rotation, the most appropriate answer is the Infraspinatus.

The final answer is D.",D,0.9772766064839616,C,False
1872,Drugs causing macular toxicity when given intravitreally-,"['Gentamycin', 'Vancomycin', 'Dexamethasone', 'Ceftazidime']","To determine the correct answer, we need to consider which of these drugs is known to cause macular toxicity when administered intravitreally. 

- Gentamycin is an aminoglycoside antibiotic that can cause macular toxicity when used intravitreally, leading to a condition known as macular hole or macular degeneration.
- Vancomycin is a glycopeptide antibiotic that is not commonly associated with macular toxicity when used intravitreally.
- Dexamethasone is a corticosteroid used to reduce inflammation and can cause macular edema as a side effect, but it is not typically classified as causing macular toxicity in the same way as Gentamycin.
- Ceftazidime is a third-generation cephalosporin antibiotic that is not known to cause macular toxicity when administered intravitreally.

Given this information, the drug that is known to cause macular toxicity when given intravitreally is Gentamycin.

The final answer is A",A,0.9999987027229532,A,True
1873,Commonest fungal infection of female genitalia in diabetes?,"['Cryptococcal', 'Madurmycosis', 'Candida', 'Aspergillosis']","To determine the correct answer, let's consider the nature of fungal infections and their prevalence in diabetic females.

1. **Cryptococcal (A)**: This is typically associated with immunocompromised states, such as HIV/AIDS, and not commonly linked with diabetes specifically.

2. **Madurmycosis (B)**: This is a rare fungal infection and not a common one associated with diabetes.

3. **Candida (C)**: Candida is a genus of fungi that can cause infections in individuals with weakened immune systems, including those with diabetes. Candida is the most common cause of vaginal yeast infections, which are often seen in diabetic women due to high glucose levels that promote fungal growth.

4. **Aspergillosis (D)**: This is another type of fungal infection but is not commonly associated with female genital infections, especially in the context of diabetes.

Given the above considerations, the most common fungal infection of the female genitalia in diabetic patients is Candida.

The final answer is C.",C,0.9999997525770414,C,True
1874,Antihypertensive may act by blocking all of following except:,"['Alpha–adrenoceptors', 'ATP dependent K+  channels', 'Nor adrenaline release', 'Beta adrenoceptors']","To determine the correct answer, we need to consider the mechanisms by which different classes of antihypertensive drugs act. Let's analyze each option:

A. Alpha–adrenoceptors: Some antihypertensive drugs, like alpha-blockers, act by blocking alpha-adrenoceptors, leading to vasodilation and lowering blood pressure.

B. ATP dependent K+ channels: Agents that target ATP-sensitive potassium channels, like certain diabetes medications (e.g., sulfonylureas), also have antihypertensive properties by causing vasodilation.

C. Nor adrenaline release: Inhibiting noradrenaline (norepinephrine) release is not a typical mechanism of action for antihypertensive drugs. Antihypertensives usually aim to reduce blood pressure by other means, such as blocking receptors or enhancing vasodilation.

D. Beta adrenoceptors: Beta-blockers block beta-adrenoceptors, which can reduce the heart rate and contractility, thereby lowering blood pressure.

Among these, option C stands out as the mechanism that is not typically used by antihypertensive drugs. Therefore, the correct answer is:

The final answer is C",C,0.9999535019002427,B,False
1875,Fatty liver is caused by all except,"['DM', 'Tetracycline', 'Starvation', 'Excess iron intake']","To determine the correct answer, let's analyze each option:

A. DM (Diabetes Mellitus) - People with diabetes, particularly type 2 diabetes, are at a higher risk of developing fatty liver disease due to insulin resistance and altered fat metabolism.

B. Tetracycline - Tetracycline is an antibiotic, and it is known to cause a condition called ""tetracycline hepatitis,"" which can lead to fatty liver as a side effect. However, it is not a primary cause of fatty liver.

C. Starvation - Starvation can lead to fatty liver because the body starts breaking down fat for energy, and this can overload the liver with fat. 

D. Excess iron intake - Hemochromatosis, a condition caused by the excessive accumulation of iron in the body, can lead to fatty liver as one of its symptoms.

From the above analysis, the option that is not a primary cause of fatty liver is B. Tetracycline.

The final answer is B",B,0.9847769372109586,D,False
1876,Urination in the human subject is decreased by,"['Nicotinic agonists', 'AChase inhibitors', 'muscarinic agonists', 'muscarinic antagonists']","To determine the correct answer, let's consider the function of the muscarinic receptors in the bladder. Muscarinic receptors are involved in the contraction of the bladder smooth muscle, leading to the process of urination. When these receptors are activated (by muscarinic agonists), the bladder contracts, resulting in increased urination. Conversely, when muscarinic receptors are inhibited (by muscarinic antagonists), the bladder's ability to contract is reduced, leading to decreased urination.

Nicotinic agonists, on the other hand, primarily affect the sympathetic nervous system and do not directly influence bladder function in a way that would decrease urination.

AChase inhibitors are not a standard medical term, so this option is not relevant to the question.

Given this information, muscarinic antagonists would be the correct answer as they would reduce the contraction of the bladder, leading to decreased urination.

The final answer is D.",D,0.99992538030762,D,True
1877,More resistance in respiration is due to which of the following?,"['Saturation with moisture', 'Increased rate of flow during expiration', 'Increased compression of airway', 'Due to change from linear to turbulent flow']","To determine the correct answer, let's analyze each option:

A. Saturation with moisture: While moisture in the air can affect respiration, it does not directly cause more resistance. The effect of moisture is more about humidifying the air rather than increasing resistance.

B. Increased rate of flow during expiration: An increased rate of flow can affect the resistance, but it is not the primary cause of increased resistance in respiration. Instead, it is more related to the dynamics of airflow.

C. Increased compression of airway: Compression of the airway can indeed increase resistance, but it is not the most common or primary cause of increased resistance in normal respiratory physiology.

D. Due to change from linear to turbulent flow: This is the correct answer. Turbulent flow, which occurs when the flow of air becomes chaotic and disordered, typically happens at higher velocities and can significantly increase airway resistance. This is a well-established principle in respiratory physiology.

The final answer is D.",D,0.9999988395923887,C,False
1878,Unwinding Enzyme in DNA synthesis:,"['Helicase', 'Primase', 'DNA Polymerase', 'Transcriptase']","To determine the correct answer, let's analyze each option:

A. Helicase: This enzyme unwinds the double helix structure of DNA, allowing the two strands to separate, which is essential for DNA replication and synthesis.

B. Primase: This enzyme synthesizes short RNA primers needed for DNA synthesis by DNA polymerase.

C. DNA Polymerase: This enzyme adds nucleotides to the growing DNA strand, but it does not unwind the DNA helix.

D. Transcriptase: This is another term for RNA polymerase, which synthesizes RNA from a DNA template during transcription, not DNA synthesis.

Given the definitions, Helicase is the enzyme responsible for unwinding the DNA double helix.

The final answer is A.",A,0.9999996424106419,A,True
